trace_id,attempt_id,global_round,global_timestamp,global_accuracy,global_loss,w3_mag,w4_normal,w4_brute,w4_scan,gateway_A_local_accuracy,gateway_A_local_loss,gateway_A_local_num_samples,gateway_A_local_timestamp,gateway_A_gateway_events,gateway_A_gateway_deserialize_avg_ms,gateway_A_gateway_deserialize_p95_ms,gateway_A_gateway_avg_payload_bytes,gateway_A_gateway_samples_seen,gateway_B_local_accuracy,gateway_B_local_loss,gateway_B_local_num_samples,gateway_B_local_timestamp,gateway_B_gateway_events,gateway_B_gateway_deserialize_avg_ms,gateway_B_gateway_deserialize_p95_ms,gateway_B_gateway_avg_payload_bytes,gateway_B_gateway_samples_seen,server_rpi_pc_events,server_rpi_pc_avg_ms,server_rpi_pc_p95_ms,server_rpi_pc_avg_payload_bytes,server_pc_rpi_events,server_pc_rpi_avg_ms,server_pc_rpi_p95_ms,server_pc_rpi_avg_payload_bytes
attempt:21:round:3,21,3,2026-04-19 13:12:56,1.0,0.049309,0.294769,0.30408,0.566427,0.438806,1.0,0.0627174079418182,30,2026-04-19 13:12:56,33.0,0.14745454545454545,0.32579999999999976,429.06060606060606,30.0,1.0,0.0359011441469192,30,2026-04-19 13:12:54,33.0,0.17206060606060605,0.3975999999999999,430.45454545454544,30.0,2.0,0.0,0.0,3630.5,1.0,0.221,0.221,3528.0
attempt:21:round:4,21,4,2026-04-19 13:13:47,0.983333,0.04618,0.29763,0.30959,0.573693,0.447503,0.9666666388511658,0.0575680956244468,30,2026-04-19 13:13:46,33.0,0.13245454545454546,0.3335999999999998,430.1515151515151,30.0,1.0,0.0347912460565567,30,2026-04-19 13:13:44,34.0,0.1685294117647059,0.32054999999999945,419.3235294117647,31.0,2.0,0.0,0.0,3625.0,1.0,0.216,0.216,3528.0
attempt:21:round:5,21,5,2026-04-19 13:14:43,0.983333,0.037669,0.29947,0.313217,0.578148,0.452793,0.9666666388511658,0.0622387677431106,30,2026-04-19 13:14:43,33.0,0.13918181818181818,0.3051999999999997,430.75757575757575,30.0,1.0,0.0130982985720038,30,2026-04-19 13:14:34,38.0,0.15057894736842106,0.2458499999999998,389.07894736842104,35.0,2.0,0.0,0.0,3636.0,1.0,0.145,0.145,3530.0
attempt:21:round:6,21,6,2026-04-19 13:15:33,0.933333,0.156889,0.295697,0.309219,0.571297,0.450521,0.8666666746139526,0.3050568401813507,30,2026-04-19 13:15:33,33.0,0.1432121212121212,0.3867999999999999,427.4848484848485,30.0,1.0,0.0087221497669816,30,2026-04-19 13:15:24,33.0,0.16366666666666665,0.4083999999999998,429.42424242424244,30.0,2.0,0.0,0.0,3631.5,1.0,0.153,0.153,3527.0
attempt:21:round:7,21,7,2026-04-19 13:16:23,0.966667,0.128763,0.295117,0.309677,0.571741,0.451244,0.9333333373069764,0.2405532896518707,30,2026-04-19 13:16:23,33.0,0.1349090909090909,0.2969999999999997,430.2121212121212,30.0,1.0,0.0169732104986906,30,2026-04-19 13:16:14,33.0,0.2012121212121212,0.5345999999999997,430.6666666666667,30.0,2.0,0.0,0.0,3630.5,1.0,0.16,0.16,3538.0
attempt:21:round:8,21,8,2026-04-19 13:17:13,0.916667,0.205543,0.29536,0.307393,0.572742,0.455506,0.8333333134651184,0.3964940309524536,30,2026-04-19 13:17:13,33.0,0.14945454545454548,0.3834,429.1818181818182,30.0,1.0,0.0145917935296893,30,2026-04-19 13:17:04,33.0,0.19224242424242421,0.5467999999999998,430.3333333333333,30.0,2.0,0.0,0.0,3628.5,1.0,0.171,0.171,3536.0
attempt:21:round:9,21,9,2026-04-19 13:18:04,0.9,0.210123,0.295461,0.304204,0.573027,0.457324,0.800000011920929,0.4031224846839905,30,2026-04-19 13:18:04,33.0,0.14006060606060605,0.35099999999999976,427.54545454545456,30.0,1.0,0.0171228852123022,30,2026-04-19 13:17:54,33.0,0.18978787878787878,0.5503999999999998,430.6060606060606,30.0,2.0,0.0,0.0,3641.0,1.0,0.141,0.141,3537.0
attempt:21:round:10,21,10,2026-04-19 13:18:53,0.95,0.135291,0.295781,0.303503,0.572847,0.463479,0.8999999761581421,0.2586462199687958,30,2026-04-19 13:18:54,33.0,0.1456060606060606,0.48739999999999994,429.24242424242425,30.0,1.0,0.0119362734258174,30,2026-04-19 13:18:44,33.0,0.18960606060606058,0.5363999999999998,430.3030303030303,30.0,2.0,0.0,0.0,3624.0,1.0,0.124,0.124,3532.0
attempt:21:round:11,21,11,2026-04-19 13:19:43,0.95,0.118962,0.296238,0.305152,0.573115,0.469243,0.8999999761581421,0.2222150862216949,30,2026-04-19 13:19:43,33.0,0.15296969696969695,0.3461999999999998,427.969696969697,30.0,1.0,0.0157095901668071,30,2026-04-19 13:19:34,33.0,0.1973939393939394,0.5463999999999999,429.45454545454544,30.0,2.0,0.0,0.0,3626.5,1.0,0.162,0.162,3536.0
attempt:21:round:12,21,12,2026-04-19 13:20:34,0.933333,0.171522,0.297187,0.305702,0.572228,0.473013,0.8666666746139526,0.3325033187866211,30,2026-04-19 13:20:34,33.0,0.13654545454545455,0.4033999999999999,428.2121212121212,30.0,1.0,0.0105416746810078,30,2026-04-19 13:20:24,33.0,0.1603030303030303,0.32239999999999963,429.6363636363636,30.0,2.0,0.0,0.0,3634.0,1.0,0.141,0.141,3515.0
