round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,round_duration_sec,w3_drift_abs,w4_normal_drift_abs,w4_brute_drift_abs,w4_scan_drift_abs,weight_drift_total_abs
12,13:20:34,0.933333,0.171522,0.297187,0.305702,0.572228,0.473013,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:20:34,model.global_round,12,aggregate,server,51.0,0.0009489999999999776,0.0005499999999999949,0.0008870000000000822,0.0037699999999999956,0.00615600000000005
13,13:21:23,0.916667,0.174665,0.298047,0.305371,0.576824,0.47863,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:21:23,model.global_round,13,aggregate,server,49.0,0.0008600000000000274,0.0003309999999999702,0.0045960000000000445,0.005616999999999983,0.011404000000000025
14,13:22:14,0.916667,0.175611,0.298135,0.306687,0.583338,0.480305,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:22:14,model.global_round,14,aggregate,server,51.0,8.799999999997699e-05,0.0013159999999999838,0.00651400000000002,0.001674999999999982,0.009592999999999963
15,13:23:03,0.95,0.103702,0.299237,0.308151,0.582754,0.4823,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:23:03,model.global_round,15,aggregate,server,49.0,0.0011019999999999919,0.0014640000000000208,0.0005840000000000289,0.0019950000000000245,0.005145000000000066
16,13:23:54,0.966667,0.075962,0.300582,0.308223,0.582566,0.483782,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:23:54,model.global_round,16,aggregate,server,51.0,0.0013450000000000406,7.20000000000165e-05,0.00018799999999996597,0.0014819999999999833,0.0030870000000000064
17,13:24:44,0.983333,0.04031,0.301121,0.312857,0.586468,0.487088,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:24:44,model.global_round,17,aggregate,server,50.0,0.0005390000000000117,0.0046339999999999715,0.003901999999999961,0.003306000000000031,0.012380999999999975
18,13:25:33,0.95,0.131373,0.302148,0.314757,0.588802,0.491346,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:25:33,model.global_round,18,aggregate,server,49.0,0.0010270000000000001,0.0019000000000000128,0.0023340000000000583,0.004257999999999984,0.009519000000000055
19,13:26:23,0.966667,0.085369,0.302409,0.313247,0.588255,0.49423,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:26:23,model.global_round,19,aggregate,server,50.0,0.0002609999999999557,0.0015100000000000113,0.0005470000000000752,0.0028839999999999977,0.00520200000000004
1,13:34:05,0.75,1.005226,0.286886,0.290345,0.542376,0.411202,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:34:05,model.global_round,1,aggregate,server,,,,,,0.0
2,13:34:48,0.95,0.224033,0.289857,0.294142,0.555073,0.427503,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:34:48,model.global_round,2,aggregate,server,43.0,0.0029710000000000014,0.003796999999999995,0.01269700000000007,0.01630100000000001,0.035766000000000076
3,13:35:39,0.966667,0.066936,0.292726,0.304734,0.560006,0.438872,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:35:39,model.global_round,3,aggregate,server,51.0,0.0028690000000000104,0.01059199999999999,0.004932999999999965,0.011368999999999962,0.02976299999999993
4,13:36:29,1.0,0.02965,0.295311,0.310625,0.564478,0.449901,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:36:29,model.global_round,4,aggregate,server,50.0,0.002585000000000004,0.00589099999999998,0.0044720000000000315,0.011029000000000011,0.023977000000000026
5,13:37:26,1.0,0.010939,0.29698,0.314004,0.569889,0.456943,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:37:26,model.global_round,5,aggregate,server,57.0,0.0016690000000000316,0.003379000000000021,0.005410999999999944,0.007041999999999993,0.01750099999999999
6,13:38:16,0.9,0.316661,0.293245,0.309117,0.560726,0.454066,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:38:16,model.global_round,6,aggregate,server,50.0,0.003735000000000044,0.00488700000000003,0.009163000000000032,0.002876999999999963,0.02066200000000007
7,13:39:06,0.9,0.18663,0.291457,0.307119,0.553232,0.45348,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:39:06,model.global_round,7,aggregate,server,50.0,0.0017879999999999563,0.0019979999999999998,0.007494000000000001,0.0005860000000000309,0.011865999999999988
8,13:39:56,0.95,0.101156,0.291658,0.306814,0.547017,0.456493,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:39:56,model.global_round,8,aggregate,server,50.0,0.00020099999999995122,0.0003049999999999997,0.0062149999999999705,0.003012999999999988,0.00973399999999991
9,13:40:46,0.916667,0.243437,0.291124,0.304328,0.54722,0.459718,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:40:46,model.global_round,9,aggregate,server,50.0,0.0005339999999999789,0.0024859999999999882,0.00020300000000006424,0.0032250000000000334,0.006448000000000065
10,13:41:36,0.9,0.235318,0.28963,0.29444,0.552832,0.457735,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:41:36,model.global_round,10,aggregate,server,50.0,0.0014939999999999953,0.009888000000000008,0.00561199999999995,0.0019830000000000125,0.018976999999999966
11,13:42:26,0.983333,0.081606,0.289303,0.291512,0.547448,0.45993,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:42:26,model.global_round,11,aggregate,server,50.0,0.0003270000000000217,0.002927999999999986,0.005383999999999944,0.0021950000000000025,0.010833999999999955
12,13:43:16,0.966667,0.101737,0.289947,0.296091,0.547735,0.460946,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:43:16,model.global_round,12,aggregate,server,50.0,0.0006440000000000334,0.004579,0.0002869999999999262,0.0010160000000000169,0.006525999999999976
13,13:44:06,0.95,0.099598,0.291185,0.299349,0.552176,0.463972,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:44:06,model.global_round,13,aggregate,server,50.0,0.0012380000000000169,0.003257999999999983,0.004441000000000028,0.003025999999999973,0.011963000000000001
14,13:44:56,0.983333,0.050393,0.291813,0.301965,0.554363,0.467181,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:44:56,model.global_round,14,aggregate,server,50.0,0.0006279999999999619,0.002616000000000007,0.00218700000000005,0.0032090000000000174,0.008640000000000037
15,13:45:46,0.966667,0.22706,0.292088,0.303379,0.553732,0.472268,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,global_weights_history_1.csv,global_round,2026-04-19 13:45:46,model.global_round,15,aggregate,server,50.0,0.0002750000000000252,0.0014140000000000263,0.0006310000000000482,0.005087000000000008,0.007407000000000108
