experiment,architecture,security,topology,mode,attempt_id,attempt_key,rounds_observed,first_round,last_round,round_completion_rate,last_global_accuracy,best_global_accuracy,avg_global_accuracy,last_global_loss,min_global_loss,avg_global_loss,avg_round_duration_sec,p95_round_duration_sec,max_round_duration_sec,avg_w3_mag_drift,avg_w4_normal_drift,avg_w4_brute_drift,avg_w4_scan_drift
RN_ASCON,RN,ASCON,standard,ascon,12,RN_ASCON#12,27,1,27,0.9,0.9,1.0,0.8981481481481481,0.182633,0.01315,0.2488308888888889,68.42307692307692,97.0,265.0,0.001650692307692308,0.00383830769230769,0.004287115384615381,0.0064480769230769236
RN_ASCON,RN,ASCON,standard,ascon,13,RN_ASCON#13,20,1,20,0.6666666666666666,0.933333,1.0,0.90583325,0.149011,0.007863,0.24980105,80.26315789473684,219.19999999999976,320.0,0.0020972631578947366,0.004788421052631579,0.007269263157894738,0.006755315789473695
RN_ASCON,RN,ASCON,standard,ascon,14,RN_ASCON#14,22,1,22,0.7333333333333333,0.966667,1.0,0.9128788181818184,0.132259,0.013924,0.24660340909090905,69.57142857142857,108.0,240.0,0.0019357142857142893,0.004057333333333331,0.00552480952380951,0.0038620952380952465
RN_ASCON,RN,ASCON,standard,ascon,15,RN_ASCON#15,23,1,23,0.7666666666666667,0.883333,1.0,0.8565217826086957,0.283482,0.017947,0.3531780869565217,193.86363636363637,220.54999999999987,2874.0,0.0017881363636363641,0.004911227272727278,0.005670681818181811,0.009156818181818184
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,RN_FOG_ASCON#2,20,1,20,0.6666666666666666,0.916667,1.0,0.92916675,0.137873,0.012215,0.19744085,96.6842105263158,131.19999999999848,772.0,0.001500157894736845,0.004674421052631585,0.005761947368421055,0.004643684210526306
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,RN_FOG_ASCON#3,20,1,20,0.6666666666666666,1.0,1.0,0.9124998999999999,0.042478,0.011003,0.26355805,69.21052631578948,79.8999999999996,250.0,0.00182463157894737,0.004714368421052629,0.0050564210526315816,0.005562157894736841
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,RN_FOG_ASCON#4,20,1,20,0.6666666666666666,0.966667,1.0,0.9483333499999999,0.104373,0.010168,0.13460434999999998,59.68421052631579,62.09999999999998,72.0,0.0015710526315789437,0.004399684210526322,0.0038765263157894796,0.0036171052631578937
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,RN_FOG_ASCON#5,20,1,20,0.6666666666666666,0.983333,1.0,0.9475000000000001,0.047601,0.017994,0.15520249999999997,60.421052631578945,63.699999999999946,88.0,0.0013908421052631524,0.0028975789473684233,0.004556578947368413,0.004333473684210528
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,RN_FOG_ASCON#9,20,1,20,0.6666666666666666,0.95,1.0,0.8974999499999999,0.2298,0.02099,0.26325305,-4477.736842105263,80.49999999999956,265.0,0.0017055789473684234,0.004221789473684211,0.005449000000000008,0.0058343157894736875
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,RN_FOG_NO_ASCON#2,20,1,20,0.6666666666666666,0.866667,1.0,0.91500015,0.32798,0.017691,0.22650205000000004,72.15789473684211,92.6999999999991,477.0,0.0013137894736842154,0.0036474736842105307,0.0051634210526315845,0.004835368421052626
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,RN_FOG_NO_ASCON#3,20,1,20,0.6666666666666666,0.9,1.0,0.9091665999999998,0.184788,0.032681,0.25430605,74.15789473684211,98.89999999999903,512.0,0.0016775263157894759,0.00459057894736842,0.005648947368421055,0.007250789473684212
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,RN_FOG_NO_ASCON#4,20,1,20,0.6666666666666666,0.933333,1.0,0.9341666,0.146945,0.016886,0.15952315,55.10526315789474,60.299999999999784,153.0,0.0014902105263157957,0.002756210526315788,0.003858631578947356,0.004334263157894743
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,RN_NO_ASCON#16,20,1,20,0.6666666666666666,0.933333,1.0,0.9083332500000001,0.155369,0.020206,0.2463823,62.73684210526316,74.79999999999947,298.0,0.0016714210526315779,0.004009263157894738,0.004541947368421062,0.005502578947368418
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,RN_NO_ASCON#17,30,1,30,1.0,0.866667,1.0,0.9083333333333333,0.261434,0.017993,0.23193423333333332,50.10344827586207,51.599999999999994,58.0,0.0011461724137931022,0.004466379310344826,0.005102896551724138,0.00437558620689655
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,RN_NO_ASCON#18,20,1,20,0.6666666666666666,0.933333,1.0,0.9566665999999999,0.089868,0.0196,0.15658345,50.10526315789474,52.199999999999996,54.0,0.001662421052631579,0.004021578947368423,0.004773368421052635,0.004014421052631582
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,RN_NO_ASCON#19,20,1,20,0.6666666666666666,0.933333,1.0,0.9416665500000001,0.103459,0.012719,0.1570292,50.05263157894737,51.59999999999999,57.0,0.0012900526315789476,0.0026111052631578925,0.0029363684210526393,0.004212789473684209
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,20,1,20,0.6666666666666666,0.966667,1.0,0.9475001000000001,0.058061,0.017869,0.16410114999999997,50.05263157894737,51.59999999999999,57.0,0.0013222105263157853,0.0031507894736842075,0.00463926315789474,0.005736684210526317
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,19,1,19,0.6333333333333333,0.966667,1.0,0.9403508947368421,0.085369,0.037669,0.16269405263157893,50.05555555555556,51.74999999999999,56.0,0.0014017222222222194,0.0025841111111111047,0.003691555555555559,0.004888055555555554
RN_NO_ASCON,RN,NO_ASCON,standard,plain,22,RN_NO_ASCON#22,20,1,20,0.6666666666666666,0.966667,1.0,0.9475,0.143433,0.010939,0.16711245,50.05263157894737,51.59999999999999,57.0,0.001260631578947367,0.0038358947368421054,0.003819157894736846,0.0044914210526315786
RN_NO_ASCON,RN,NO_ASCON,standard,plain,23,RN_NO_ASCON#23,20,1,20,0.6666666666666666,0.883333,1.0,0.9075000000000001,0.269965,0.021956,0.25774244999999996,50.26315789473684,53.499999999999986,58.0,0.0013757894736842104,0.00407410526315789,0.00454731578947369,0.004377157894736846
RN_NO_ASCON,RN,NO_ASCON,standard,plain,24,RN_NO_ASCON#24,20,1,20,0.6666666666666666,0.933333,1.0,0.8966666999999999,0.140267,0.014622,0.28624974999999997,50.1578947368421,52.499999999999986,57.0,0.0016473157894736912,0.004082631578947367,0.005807894736842097,0.004456263157894739
RN_NO_ASCON,RN,NO_ASCON,standard,plain,25,RN_NO_ASCON#25,20,1,20,0.6666666666666666,0.95,0.983333,0.9058334499999999,0.203323,0.083719,0.27666654999999996,50.31578947368421,52.79999999999998,60.0,0.0007211052631578899,0.0028735263157894683,0.0034283684210526287,0.005111157894736841
RN_NO_ASCON,RN,NO_ASCON,standard,plain,26,RN_NO_ASCON#26,20,1,20,0.6666666666666666,0.933333,1.0,0.9016667,0.139039,0.01632,0.27841745000000007,50.1578947368421,52.59999999999999,58.0,0.002011578947368414,0.004199263157894738,0.005185684210526308,0.0043495789473684265
RN_NO_ASCON,RN,NO_ASCON,standard,plain,27,RN_NO_ASCON#27,20,1,20,0.6666666666666666,0.933333,1.0,0.8933333500000001,0.147609,0.016891,0.24020459999999993,50.1578947368421,54.099999999999994,55.0,0.001479842105263158,0.0049931578947368365,0.005303210526315789,0.005599684210526315
RN_NO_ASCON,RN,NO_ASCON,standard,plain,28,RN_NO_ASCON#28,20,1,20,0.6666666666666666,0.883333,1.0,0.9066666499999998,0.23971,0.023274,0.26367679999999993,50.21052631578947,52.09999999999998,62.0,0.0015916842105263124,0.005272894736842107,0.004746473684210539,0.004876000000000003
RN_NO_ASCON,RN,NO_ASCON,standard,plain,29,RN_NO_ASCON#29,20,1,20,0.6666666666666666,0.933333,0.983333,0.87000005,0.176987,0.10292,0.35021735000000004,49.73684210526316,50.099999999999994,51.0,0.0011375263157894792,0.0038824210526315936,0.003059894736842095,0.002942
