experiment,architecture,security,topology,mode,attempt_id,attempt_key,fl_round,round_ref,gateway_count,local_accuracy_min,local_accuracy_max,local_accuracy_skew,local_loss_min,local_loss_max,local_loss_skew,gateway_sync_skew_sec
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,18,19.0,2,0.8999999761581421,1.0,0.10000002384185791,0.0132838310673832,0.1960943192243576,0.1828104881569744,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,19,20.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0069315931759774,0.1091905757784843,0.1022589826025069,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,0,1.0,2,0.7333333492279053,0.7666666507720947,0.03333330154418945,0.839574933052063,0.8896997570991516,0.05012482404708862,2.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,1,2.0,2,0.9333333373069764,0.9666666388511658,0.03333330154418934,0.1129047200083732,0.2457086443901062,0.132803924381733,2.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,2,3.0,2,1.0,1.0,0.0,0.0359011441469192,0.0627174079418182,0.026816263794898994,2.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,3,4.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0347912460565567,0.0575680956244468,0.022776849567890098,2.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,4,5.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0130982985720038,0.0622387677431106,0.0491404691711068,9.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,5,6.0,2,0.8666666746139526,1.0,0.13333332538604736,0.0087221497669816,0.3050568401813507,0.2963346904143691,9.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,6,7.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0169732104986906,0.2405532896518707,0.2235800791531801,9.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,7,8.0,2,0.8333333134651184,1.0,0.1666666865348816,0.0145917935296893,0.3964940309524536,0.3819022374227643,9.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,8,9.0,2,0.800000011920929,1.0,0.19999998807907104,0.0171228852123022,0.4031224846839905,0.38599959947168827,10.0
