experiment,architecture,security,topology,mode,attempt_id,attempt_key,round_ref,global_accuracy,global_loss,round_duration_sec,local_gateway_count,local_train_events,local_accuracy_avg,local_loss_avg,local_samples_total,fog_fedavg_events,fog_accuracy_avg,fog_loss_avg,edge_rpi_events,edge_rpi_p95_ms,edge_rpi_avg_wire_bytes,rpi_pc_events,rpi_pc_p95_ms,rpi_pc_avg_wire_bytes,pc_rpi_events,pc_rpi_p95_ms,pc_rpi_avg_wire_bytes,total_transport_events,total_transport_p95_ms
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,17,0.983333,0.077754,60.0,2.0,2.0,0.9833333194255829,0.07775386236608026,60.0,,,,60.0,4.3732999999999995,230.4,2,15.71015,4962.0,1,12.92,4818.0,69,33.321
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,18,0.95,0.127046,59.0,2.0,2.0,0.949999988079071,0.1270459406077861,60.0,,,,61.0,4.471,230.70491803278688,2,11.80645,4966.0,1,10.73,4818.0,70,34.14335
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,19,0.966667,0.055178,58.0,2.0,2.0,0.9666666388511658,0.0551778320223093,60.0,,,,60.0,4.906999999999999,229.93333333333334,2,11.46405,4974.0,1,17.122,4826.0,69,32.0954
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,20,0.95,0.12126,59.0,2.0,2.0,0.949999988079071,0.1212598457932472,60.0,,,,60.0,4.586749999999999,231.06666666666666,2,12.5692,4978.0,1,12.404,4798.0,69,32.1274
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,1,0.85,0.525682,,2.0,2.0,0.8499999940395355,0.5256815254688263,60.0,,,,64.0,4.27185,232.75,2,12.7626,4990.0,1,12.777,4842.0,71,22.6905
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,2,1.0,0.14128,53.0,2.0,2.0,1.0,0.14127978682518,60.0,,,,57.0,4.324,233.8421052631579,2,12.03065,4990.0,1,12.571,4830.0,66,33.4195
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,3,1.0,0.048077,59.0,2.0,2.0,1.0,0.0480765607208013,60.0,,,,60.0,4.56065,234.33333333333334,2,32.2551,4980.0,1,19.05,4838.0,69,32.9872
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,4,0.933333,0.137553,64.0,2.0,2.0,0.9333333373069763,0.13755291793495414,60.0,,,,63.0,4.4287,232.17460317460316,2,14.80505,4976.0,1,13.225,4826.0,72,33.351600000000005
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,5,0.916667,0.211046,59.0,2.0,2.0,0.9166666567325592,0.21104602236300699,60.0,,,,60.0,4.44515,233.0,2,10.648249999999999,4980.0,1,13.722,4826.0,69,33.44819999999999
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,6,0.966667,0.091823,59.0,2.0,2.0,0.9666666686534882,0.09182323655113575,60.0,,,,60.0,4.564449999999999,235.2,2,11.32715,4974.0,1,12.037,4818.0,69,33.68519999999999
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,7,0.95,0.126559,59.0,2.0,2.0,0.949999988079071,0.12655944470316166,60.0,,,,60.0,4.5785,232.73333333333332,2,14.208749999999998,4980.0,1,12.411,4822.0,69,31.759799999999995
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,8,0.983333,0.067401,58.0,2.0,2.0,0.9833333194255829,0.06740094581618901,60.0,,,,60.0,4.4723,233.0,2,10.831050000000001,4970.0,1,13.211,4826.0,69,34.5838
