variant,model,security,topology,attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_pt_bytes,avg_enc_bytes,avg_overhead_bytes,avg_overhead_ratio_pct,avg_expansion_ratio
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,37.205349999999996,35.147000000000006,39.20790000000003,78.08,3565.25,4837.0,1271.75,35.670733306124006,1.3567073330612403
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,34.5599,34.416,38.233650000000004,39.443,3565.25,4837.0,1271.75,35.670733306124006,1.3567073330612403
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,36.287400000000005,35.7315,38.82685,40.686,3682.05,4992.8,1310.75,35.59840691642358,1.3559840691642358
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_B,RPi_leader->RPi_peer,decrypt,20.0,34.1023,34.1695,35.7325,38.801,3565.25,4837.0,1271.75,35.670733306124006,1.3567073330612403
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_A,RPi_leader->RPi_peer,encrypt,20.0,35.7785,35.3125,38.68485,41.361,3565.25,4837.0,1271.75,35.670733306124006,1.3567073330612403
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_A,RPi_peer->RPi_leader,decrypt,20.0,35.601200000000006,34.753,37.82425000000001,51.243,3666.65,4972.0,1305.35,35.60067088240543,1.3560067088240542
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_transport,gateway_B,RPi_peer->RPi_leader,encrypt,20.0,37.936699999999995,36.587500000000006,46.45355,50.53,3666.65,4972.0,1305.35,35.60067088240543,1.3560067088240542
CNN_ASCON_FOG,CNN,ASCON,FOG,7,server_transport,Asus,PC->RPi,encrypt,20.0,13.018749999999997,11.512,21.13285,21.434,3565.25,4837.0,1271.75,35.670733306124006,1.3567073330612403
CNN_ASCON_FOG,CNN,ASCON,FOG,7,server_transport,Asus,RPi->PC,decrypt,20.0,13.5006,12.3085,21.796699999999998,21.81,3682.05,5008.8,1326.75,36.03295372063161,1.360329537206316
CNN_ASCON_FOG,CNN,ASCON,FOG,8,server_transport,Asus,PC->RPi,encrypt,20.0,18.475649999999998,13.660499999999999,42.71340000000003,80.74,3553.45,4821.4,1267.95,35.68233387146748,1.3568233387146746
CNN_ASCON_FOG,CNN,ASCON,FOG,8,server_transport,Asus,RPi->PC,decrypt,20.0,15.634300000000001,11.417,31.566050000000025,68.636,3669.55,4992.2,1322.65,36.04394950332776,1.3604394950332777
